esto es bueno para un futuro mejor,Negative,1
por que no lo usado antes,Negative,1
todas las personas deven de usar este programa,Neutral,2
si para que aprenda mas del.,Neutral,2
godofredo,Neutral,2
quesedeve cuandotinedolor,Neutral,2
esta bien,Neutral,2
espara,Neutral,2
detalles  de la medicina,Neutral,2
Me gusto me parece algo interesante pero para la persona con dolor si es estresante contestar demaciada pregunta.,Negative,1
este programa  nos  hayuda aconocer el  sufrimiento del enfermo y asi  poder ayudarlo,Neutral,2
para mi fue ecxelente fue algo nuevo.,Negative,1
es muy excelente este programa,Neutral,2
